"College Code","Name of the College/Institution","University","State","District Name","Pincode","Institute Email","Institute Type","Accreditation Type","Accreditation Valid Upto","Status"
"16323            		  View Course","Tezpur University","Central University","Assam","Sonitpur","784028","deansoe@tezu.ernet.in","Government","NAAC","2021-07-10","Active"
"16324            		  View Course","Dibrugarh University","Not Available","Assam","Dibrugarh","786004","registrar@dibru.ac.in","Government","NAAC","2022-03-27","Active"
"16325            		  View Course","Gauhati University","Not Available","Assam","Guwahati","781014","dr.hkumarnath@gmail.com","Government","NAAC","2023-08-15","Active"
"16328            		  View Course","Indira Kala Sangeet University Khairagarh","Not Available","Chhattisgarh","Rajnandgaon","491881","ikvvkgh.yahoo.co.in","Government","NAAC","2019-09-23","Active"
"16329            		  View Course","Pandit Ravishankar Shukla University","Not Available","Chhattisgarh","Raipur","492010","registrarprsu@gmail.com","Government","NAAC","2021-12-15","Active"
"16330            		  View Course","Bharat Ratna Dr. B.R. Ambedkar University","Not Available","Delhi","New Delhi","110006","info@aud.ac.in","Government","NAAC","2019-12-09","Active"
"16332            		  View Course","Indraprastha Institute of Information Technology","AUTONOMOUS","Delhi","SOUTH DELHI","110020","info@iiitd.ac.in","Government","NAAC","2020-04-30","Active"
"16333            		  View Course","Jamia Millia Islamia","Central University","Delhi","SOUTH DELHI","110025","mahmad4@jmi.ac.in","Government","NAAC","2020-03-02","Active"
"16339            		  View Course","Jamia Hamdard (Hamdard University)","Deemed to be University","Delhi","SOUTH DELHI","110062","director_sodl@jamiahamdard.ac.in","Government","NAAC","2022-09-11","Active"
"16340            		  View Course","Jawaharlal Nehru University","Central university","Delhi","North East Delhi","110067","security@mail.jnu.ac.in","Government","NAAC","2022-10-29","Active"
"16341            		  View Course","University of Delhi","UNIVERSITY OF DELHI","Delhi","NORTH DELHI","110007","vc@du.ac.in","Government","NAAC","2023-11-29","Active"
"16342            		  View Course","DELHI TECHNOLOGICAL UNIVERSITY","Delhi Technological University, Delhi","Delhi","North East Delhi","110042","aracademic@dtu.ac.in","Government","NAAC","2024-05-19","Active"
"16346            		  View Course","Gujarat National Law University","National Law University","Gujarat","Gandhinagar","382426","contact@gnlu.ac.in","Government","NAAC","2021-02-18","Active"
"16348            		  View Course","Hemchandracharya North Gujarat University","Not Available","Gujarat","Patan","384265","regi@ngu.ac.in","Government","NAAC","2021-02-18","Active"
"16350            		  View Course","Saurashtra University","Not Available","Gujarat","Rajkot","360005","info@saurashtrauniversity.com","Government","NIRF","Not Available","Active"
"16379            		  View Course","Dhirubhai Ambani Institute of Information and Communication Technology","Dhirubhai Ambani Institute of Information and Communication Technology","Gujarat","Gandhinagar","382007","info@daiict.ac.in","Private","NAAC A+","2028-09-06","Active"
"16386            		  View Course","Gujarat Ayurved University","Not Available","Gujarat","Jamnagar","361008","registrar@ayurveduniversity.com","Government","Not Available","Not Available","Active"
"16389            		  View Course","Sardar Patel University","Not Available","Gujarat","Anand","388120","registrar_spu@spuvvn.edu","Government","Not Available","Not Available","Active"
"16391            		  View Course","Veer Narmad South Gujarat University","Not Available","Gujarat","Surat","395007","info@vnsgu.ac.in","Government","NAAC","2022-02-21","Active"
"16396            		  View Course","Central University of Haryana","Central University","Haryana","Mahendragarh","123031","ajaykb007@gmail.com","Government","NAAC","2022-03-27","Active"
"16398            		  View Course","Kurukshetra University","Kurukshetra University, Kurukshetra","Haryana","Kurukshetra","136119","registrarkuk@gmail.com","Government","NAAC","2022-10-29","Active"
"16399            		  View Course","Pt. B. D. Sharma University of Health Sciences","Not Available","Haryana","Rohtak","124001","registrar.uhsrohtak@gmail.com","Government","NAAC","2022-02-21","Active"
"16401            		  View Course","MAHARSHI DAYANAND UNIVERSITY","MAHARSHI DAYANAND UNIVERSITY","Haryana","Rohtak","124001","callcentre@mdurohtak.ac.in","Government","NAAC","2024-03-27","Active"
"16402            		  View Course","Himachal Pradesh University","Not Available","Himachal Pradesh","Shimla","171005","vc_hpu@hotmail.com","Government","NIRF","Not Available","Active"
"16403            		  View Course","University of Jammu","Not Available","Jammu and Kashmir","Jammu","180006","registrarjammuuniversity @gmail.com","Government","Not Available","Not Available","Active"
"16404            		  View Course","UNIVERSITY OF KASHMIR","Not Available","Jammu And Kashmir","Srinagar","190006","info@kashmiruniversity.net","Government","NAAC","2024-05-19","Active"
"16405            		  View Course","Karnatak University","Not Available","Karnataka","Dharwad","580003","mail@kannadauniversity.org","Government","NAAC","2021-12-09","Active"
"16417            		  View Course","Swami Vivekananda Yoga Anusandhana Samsthana","Deemed-to-be-University","Karnataka","Bangalore","560019","admissions@svyasa.org","Deemed University","NAAC A+","2028-05-18","Active"
"16424            		  View Course","Sree Sankaracharya University of Sanskrit Kalady","Not Available","Kerala","Ernakulam","683574","","Government","Not Available","Not Available","Active"
"16425            		  View Course","University of Kerala","Not Available","Kerala","Thiruvananthapuram","695034","ku.release@gmail.com","Government","Not Available","Not Available","Active"
"16426            		  View Course","Atal Bihari Vajpayee Indian Institute of Information Technology & Management","Autonomous","Madhya Pradesh","Gwalior","474015","pankaj@iiitm.ac.in","Government","NAAC","2019-12-09","Active"
"16427            		  View Course","Dr. Harisingh Gour Vishwavidyalaya","DR. HARISINGH GOUR VISHWAVIDYALAYA","Madhya Pradesh","Sagar","470003","coe@dhsgsu.ac.in","Government","Not Available","Not Available","Active"
"16428            		  View Course","Jiwaji University","JIWAJI UNIVERSITY","Madhya Pradesh","Gwalior","474011","iqac@jiwaji.edu","Government","NAAC","2020-03-02","Active"
"16429            		  View Course","Mahatma Gandhi Chitrakoot Gramodaya Vishwavidyalaya","MAHATMA GANDHI CHITRAKOOT GRAMODAYA VISHWAVIDYALAYA","Madhya Pradesh","Satna","485334","mgcgv@rediffmail.com","Government","NAAC","2020-09-13","Active"
"16430            		  View Course","Vikram University","Vikram University","Madhya Pradesh","Ujjain","456010","info@vikramuniversity.ac.in","Government","Not Available","Not Available","Active"
"16431            		  View Course","Jaypee University of Engineering and Technology","JAYPEE UNIVERSITY OF ENGINEERING AND TECHNOLOGY","Madhya Pradesh","Guna","473226","contact@juet.ac.in","Private","NAAC A+","2028-03-20","Active"
"16432            		  View Course","Lakshmibai National Institute of Physical Education","Deemed to be University","Madhya Pradesh","Gwalior","474002","registrar@lnipe.edu.in","Government","NAAC","2022-03-27","Active"
"16433            		  View Course","Rajiv Gandhi Proudyogiki Vishwavidyalaya","Not Available","Madhya Pradesh","Bhopal","462033","registrarrgpv@gmail.com","Government","NAAC","2022-06-08","Active"
"16438            		  View Course","Homi Bhabha National Institute","Not Available","Maharashtra","Mumbai","400094","registrar@hbni.ac.in","Government","NAAC","2020-05-10","Active"
"16440            		  View Course","Mahatma Gandhi Antarrashtriya Hindi Vishwavidyalaya","Mahatma Gandhi Antarrashtriya Hindi Vishwavidyalaya, Wardha, Maharashtra","Maharashtra","Wardha","442001","registrar@hindivishwa","Government","Not Available","Not Available","Active"
"16441            		  View Course","North Maharashtra University","Not Available","Maharashtra","Jalgaon","425001","","Government","Not Available","Not Available","Active"
"16442            		  View Course","Rashtrasant Tukadoji Maharaj Nagpur University","Not Available","Maharashtra","Nagpur","440001","registrar@nagpuruniversity.nic.in","Government","Not Available","Not Available","Active"
"16443            		  View Course","Sant Gadge Baba Amravati University","Not Available","Maharashtra","Amravati","444602","","Government","Not Available","Not Available","Active"
"16444            		  View Course","Shivaji University","Not Available","Maharashtra","Kolhapur","416004","","Government","NIRF","Not Available","Active"
"16445            		  View Course","Shreemati Nathibai Damodar Thackersey Women's University","Not Available","Maharashtra","Mumbai","400020","","Government","Not Available","Not Available","Active"
"16446            		  View Course","Swami Ramanand Teerth Marathwada University","Not Available","Maharashtra","Nanded","431606","directorscl@srtmun.ac.in","Government","Not Available","Not Available","Active"
"16451            		  View Course","Datta Meghe Institute of Medical Sciences","DEEMED TO BE UNIVERSITY","Maharashtra","Wardha","442107","info@dmimsu.edu.in","Private","NAAC","2024-10-29","Active"
"16453            		  View Course","Savitribai Phule Pune University","Savitribai Phule Pune University","Maharashtra","Pune","411007","regis@unipune.ac.in","Government","NAAC","2024-02-21","Active"
"16454            		  View Course","SVKM's Narsee Monjee Institute of Management Studies","Deemed to be University","Maharashtra","Mumbai","400056","enquiry@nmims.edu","Private","NAAC","2024-09-11","Active"
"16455            		  View Course","Tata Institute of Fundamental Research","Not Available","Maharashtra","Mumbai","400005","gsoffice@tifr.res.in","Government","Not Available","Not Available","Active"
"16456            		  View Course","Institute of Chemical Technology","Deemed to be University","Maharashtra","Mumbai","400019","director@ictmumbai.edu.in","Government","NAAC","2022-11-26","Active"
"16457            		  View Course","DR. BABASAHEB AMBEDKAR MARATHWADA UNIVERSITY","Not Available","Maharashtra","Aurangabad","431004","head.csit@bamu.ac.in","Government","Not Available","Not Available","Active"
"16458            		  View Course","Manipur University","Not Available","Manipur","Imphal West","795003","dean.medical@manipuruniv.ac.in","Government","NIRF","Not Available","Active"
"16460            		  View Course","MIZORAM UNIVERSITY","Central University","Mizoram","Aizawl","796004","registrar@mzu.edu.in","Government","NAAC","2024-05-19","Active"
"16461            		  View Course","Berhampur University","Not Available","Odisha","Ganjam","760007","vcbuorissa@gmail.com,","Government","Not Available","Not Available","Active"
"16465            		  View Course","National Institute of Technology","Autonomous","Odisha","Rourkela","769008","skacharya@nitrkl.ac.in","Government","NAAC","2021-12-01","Active"
"16467            		  View Course","Ravenshaw University","Not Available","Odisha","Cuttack","753003","vc@ravenshawuniversity.ac.in","Government","NAAC","2021-12-15","Active"
"16468            		  View Course","Sambalpur University","Not Available","Odisha","Sambalpur","768019","hodanth@suniv.ac.in","Government","NAAC","2021-09-15","Active"
"16469            		  View Course","Utkal University","Not Available","Odisha","Bhubaneswar","751004","utkaluniversity.ac.in","Government","NAAC","2021-12-01","Active"
"16471            		  View Course","Pondicherry University","Pondicherry University","Puducherry","Pondicherry","605014","registrar@pondiuni.edu.in","Government","NAAC","2023-11-01","Active"
"16472            		  View Course","Central University of Punjab","Central University","Punjab","Bathinda","151401","registrar.cup@gmail.com","Government","NAAC","Not Available","Active"
"16473            		  View Course","Guru Nanak Dev University","GURU NANAK DEV UNIVERSITY","Punjab","Amritsar","143005","admn@gndu.ernet.in","Government","Not Available","Not Available","Active"
"16475            		  View Course","Punjabi University","PUNJABI UNIVERSITY","Punjab","Patiala","147002","registrar@pbi.ac.in","Government","NIRF","Not Available","Active"
"16476            		  View Course","Rajiv Gandhi National University of Law","Rajiv Gandhi National University of Law","Punjab","Patiala","147006","info@rgnul.ac.in","Government","NAAC","Not Available","Active"
"16479            		  View Course","University of Rajasthan","Not Available","Rajasthan","Jaipur","302004","info@curaj.ac.in","Government","Not Available","Not Available","Active"
"16481            		  View Course","Central University of Rajasthan","Central University","Rajasthan","Ajmer","305817","info@curaj.ac.in","Government","NAAC","2021-09-15","Active"
"16486            		  View Course","Anna University","Not Available","Tamil Nadu","Chennai","600025","registrar@annauniv.edu","Government","NAAC","2019-09-23","Active"
"16489            		  View Course","Bharathiar University","Not Available","Tamil Nadu","Coimbatore","641046","sde@b-u.ac.in","Government","NAAC","2023-03-28","Active"
"16493            		  View Course","Madurai Kamaraj University","Not Available","Tamil Nadu","Madurai","625021","mkudde@mkudde.org","Government","NAAC","2019-07-09","Active"
"16495            		  View Course","Periyar University","Not Available","Tamil Nadu","Salem","636011","registrar@periyaruniversity.ac.in","Government","NAAC","2020-04-30","Active"
"16500            		  View Course","University of Madras","Not Available","Tamil Nadu","Chennai","600005","vc@unom.ac.in","Government","NAAC","2021-05-04","Active"
"16503            		  View Course","Alagappa University","Not Available","Tamil Nadu","Sivaganga","630003","registraralgappauniv@gmail.com","Government","NAAC","2024-05-01","Active"
"16508            		  View Course","AVINASHILINGAM INSTITUTE FOR HOME SCIENCE AND HIGHER EDUCATION FOR WOMEN","Not Available","Tamil Nadu","Coimbatore","641043","registrar@avinuty.ac.in","Private","NAAC A++","2027-02-21","Active"
"16510            		  View Course","BHARATHIDASAN UNIVERSITY","Not Available","Tamil Nadu","TIRUCHIRAPPALLI","620024","reg@bdu.ac.in","Government","NAAC","2024-03-31","Active"
"16511            		  View Course","Manonmaniam Sundaranar University","Not Available","Tamil Nadu","Tirunelveli","627012","registraroffice@msuniv.ac.in","Government","NAAC","2023-08-15","Active"
"16513            		  View Course","Maulana Azad National Urdu University","Central University","Telangana","Hyderabad","500032","registrar@manuu.edu.in","Government","NIRF","Not Available","Active"
"16514            		  View Course","NALSAR University of Law","NALSAR UNIVERSITY OF LAW","Telangana","Hyderabad","500101","admissions@naslar.ac.in","Government","NAAC","2021-03-16","Active"
"16517            		  View Course","University of Hyderabad","University of Hyderabad","Telangana","Hyderabad","500046","deanmathstat@gmail.com","Government","Not Available","Not Available","Active"
"16519            		  View Course","Jawaharlal Nehru Technological University","Not Available","Telangana","Hyderabad","500085","info@jntu.ac.in","Government","Not Available","Not Available","Active"
"16520            		  View Course","Kakatiya University","Not Available","Telangana","Warangal","506009","registrar@kakatiya.ac.in","Government","NAAC","2022-09-11","Active"
"16521            		  View Course","Osmania University","Osmania University","Telangana","Hyderabad","500007","registrar@osmania.ac.in","Government","NAAC","2024-09-11","Active"
"16522            		  View Course","Aligarh Muslim University","ALIGARH MUSLIM UNIVERSITY","Uttar Pradesh","Aligarh","202002","registrar.amu@amu.ac.in","Government","NAAC","2020-03-02","Active"
"16523            		  View Course","Babasaheb Bhimrao Ambedkar University","Central University","Uttar Pradesh","Lucknow","226025","bbauscstcell@gmail.com","Government","NAAC","2020-04-30","Active"
"16524            		  View Course","Banaras Hindu University","Banaras Hindu University","Uttar Pradesh","Varanasi","221005","drdevbhu@gmail.com","Government","NAAC","2020-03-02","Active"
"16525            		  View Course","Sampurnanand Sanskrit University","Not Available","Uttar Pradesh","Varanasi","221002","info@ssvv.ac.in","Government","NAAC","2019-12-09","Active"
"16526            		  View Course","GLA University","GLA University","Uttar Pradesh","Mathura","281406","glauniversity@gla.ac.in","Private","NAAC","2028-01-23","Active"
"16530            		  View Course","Graphic Era University","Deemed to  be University","Uttarakhand","Dehradun","248002","enquiry@geu.ac.in","Private","NIRF","Not Available","Active"
"16532            		  View Course","Hemwati Nandan Bahuguna Garhwal University","Central University","Uttarakhand","PAURI GARHWAL","246174","registrar@hnbgu.ac.in","Government","NAAC","2021-03-28","Active"
"16533            		  View Course","Kumaun University","Kumaun University","Uttarakhand","Nainital","263001","vc@kumauni.ren.nic.in","Government","NAAC","2021-02-18","Active"
"16534            		  View Course","Jadavpur University","Jadavpur University, Kolkata","West Bengal","Kolkata","700032","registrar@admin.jdvu.ac.in","Government","NAAC","2021-09-23","Active"
"16535            		  View Course","Rabindra Bharati University","Not Available","West Bengal","Kolkata","700050","registrar@rbu.ac.in","Government","NAAC","2021-02-18","Active"
"16536            		  View Course","Presidency University","Not Available","West Bengal","Kolkata","700073","sec.registrar@presiuniv.ac.in","Government","NIRF","Not Available","Active"
"16538            		  View Course","University of Calcutta","UNIVERSITY OF CALCUTTA","West Bengal","Kolkata","700073","admin@caluniv.ac.in","Government","NAAC","2022-01-22","Active"
"16539            		  View Course","University of Kalyani","UNIVERSITY OF KALYANI","West Bengal","Nadia","741235","registrat@klyuniv.ac.in","Government","Not Available","Not Available","Active"
"16540            		  View Course","University of North Bengal","Not Available","West Bengal","Darjeeling","734430","regnbu@sancharnet.in","Government","NAAC","2021-12-01","Active"
"16554            		  View Course","Deen Dayal Upadhyaya College","University of Delhi","Delhi","New Delhi","110078","principaldducollege@gmail.com","Government","","Not Available","Active"
"16555            		  View Course","Kirori Mal College","University of Delhi","Delhi","NORTH DELHI","110007","info@kmcollege.ac.in","Government","NIRF","Not Available","Active"
"16559            		  View Course","Acharya Narendra Dev College","University Of Delhi","Delhi","New Delhi","110019","admissions@andc.du.ac.in","Government","","Not Available","Active"
"16561            		  View Course","Sri Guru Tegh Bahadur Khalsa College","UNIVERSITY OF DELHI","Delhi","North Delhi","110007","info@sgtbkhalsadu.ac.in","Government","NIRF","Not Available","Active"
"16565            		  View Course","Shyam Lal College","University of Delhi","Delhi","SHAHDARA","110032","slcm@shyamlal.du.ac.in","Government","NIRF","Not Available","Active"
"16571            		  View Course","Keshav Mahavidyalya","Not Available","Delhi","West Delhi","110039","principal@keshav.du.ac.in","Government","NIRF","Not Available","Active"
"16572            		  View Course","Sri Guru Gobind Singh College of Commerce","Not Available","Delhi","West Delhi","110034","iqac.sggscc@sggscc.ac.in","Government","NIRF","Not Available","Active"
"16574            		  View Course","Ramanujan College","Not Available","Delhi","New Delhi","110019","ramanujancollege2010@gmail.com","Government","","Not Available","Active"
"16579            		  View Course","Mar Ivanios College","Not Available","Kerala","Kottayam","695015","info@mic.ac.in","Private","NIRF","Not Available","Active"
"16585            		  View Course","St. Teresa's College","Not Available","Kerala","Ernakulam","682011","principal@teresas.ac.in.","Private","NIRF","Not Available","Active"
"16587            		  View Course","Government. Arts College","Not Available","Kerala","Thiruvananthapuram","695034","admin.ksitm@kerala.gov.in","Government","NIRF","Not Available","Active"
"16596            		  View Course","Fergusson College","Savitribai Phule Pune University","Maharashtra","Pune","411004","principal@fergusson.edu","Private","NIRF","Not Available","Active"
"16600            		  View Course","Presidency College","Not Available","Tamil Nadu","Chennai","600005","info@presidencychennai.com","Government","NIRF","Not Available","Active"
"16602            		  View Course","Madras Christian College","University of Madras","Tamil Nadu","Chennai","600059","principal@mcc.edu.in","Private","NIRF","Not Available","Active"
"16605            		  View Course","Scott Christian College","Not Available","Tamil Nadu","Kanyakumari","629003","Principal@scottchristian.org","Private","NIRF","Not Available","Active"
"16608            		  View Course","Thiagarajar College","Not Available","Tamil Nadu","Chennai","625009","info@rgnul.ac.in.","Private","NIRF","Not Available","Active"
"16609            		  View Course","Ethiraj College for Women","Not Available","Tamil Nadu","Chennai","600008","ethirajprincy@yahoo.com","Private","NIRF","Not Available","Active"
"16610            		  View Course","St. Joseph's College","Bharathidasan University","Tamil Nadu","Tiruchirappalli","620002","jprstjosephs@stjosephs.ac.in","Private","NIRF","Not Available","Active"
"16614            		  View Course","Kongunadu Arts & Science College","Not Available","Tamil Nadu","Coimbatore","641029","coe@kongunaducoe.info","Private","NIRF","Not Available","Active"
"16615            		  View Course","Sri Krishna Arts and Science College","Not Available","Tamil Nadu","Coimbatore","641008","principal@skasc.ac.in","Private","NIRF","Not Available","Active"
"16616            		  View Course","Stella Maris College for Women","Not Available","Tamil Nadu","Chennai","600086","smijar.stellamariscollege@gmail.com","Private","NIRF","Not Available","Active"
"16618            		  View Course","Sri Ramakrishna Mission Vidyalaya College of Arts and Science","Not Available","Tamil Nadu","Coimbatore","641020","coimbatore.mission@rkmm.org","Private","NIRF","Not Available","Active"
"16620            		  View Course","Madras School of Social Work","Not Available","Tamil Nadu","Chennai","600008","pmirmssw@gmail.com","Private","NIRF","Not Available","Active"
"16627            		  View Course","Alagappa Government Arts College","Not Available","Tamil Nadu","Sivaganga","630003","agackkdi@yahoo.com","Government","NIRF","Not Available","Active"
"16633            		  View Course","Sri Meenakshi Government College for Women","Not Available","Tamil Nadu","Madurai","625002","smgc@rediffmail.com","Government","NIRF","Not Available","Active"
"16634            		  View Course","Muthurangam Govt. Arts College","Not Available","Tamil Nadu","Vellore","632002","mgac365@yahoo.com","Government","NIRF","Not Available","Active"
"16635            		  View Course","St. Francis College for Women","Osmania University","Telangana","Hyderabad","500016","info@sfc.ac.in","Private","NIRF","Not Available","Active"
"16639            		  View Course","Ramakrishna Mission Residential College","Not Available","West Bengal","Kolkata","700103","vidyamandira@gmail.com","Private","NIRF","Not Available","Active"
"16640            		  View Course","Bethune College","Not Available","West Bengal","Kolkata","700006","bethunecollege1879@gmail.com","Government","NIRF","Not Available","Active"
"16642            		  View Course","Dr. B. R. Ambedkar Institute of Technology","Not Available","Andaman and Nicobar Islands","South Andaman","744103","principal@dr-ait.org","Government","NIRF","Not Available","Active"
"16644            		  View Course","College of Engineering Visakhapatnam","Not Available","Andhra Pradesh","Visakhapatnam","530003","auceaprincipal@gmail.com","Government","NIRF","Not Available","Active"
"16646            		  View Course","University College of Engineering","Not Available","Andhra Pradesh","East Godavari","530048","principal@ucet.ac.in","Government","NIRF","Not Available","Active"
"16653            		  View Course","JNTUA College of Engineering","Not Available","Andhra Pradesh","Anantapur","515002","registrar@jntua.ac.in","Government","NIRF","Not Available","Active"
"16656            		  View Course","North Eastern Regional Institute of Science & Technology","DEEMED TO BE UNIVERSITY","Arunachal Pradesh","Papum Pare","791109","director@nerist.ac.in","Government","NIRF","Not Available","Active"
"16657            		  View Course","Indian Institute of Technology Guwahati","Autonomous","Assam","Kamrup Metropolitan","781039","registrar@iitg.ernet.in","Government","Not Available","Not Available","Active"
"16658            		  View Course","National Institute of Technology Silchar","Autonomous","Assam","Cachar","788010","director@nits.ac.in","Government","NIRF","Not Available","Active"
"16660            		  View Course","PEC University of Technology","Not Available","Chandigarh","Chandigarh","160012","sanjeevkumar@pec.ac.in","Government","NIRF","Not Available","Active"
"16661            		  View Course","National Institute of Technology Raipur","Autonomous","Chhattisgarh","Raipur","492010","registrar@nitrr.ac.in","Government","Not Available","Not Available","Active"
"16662            		  View Course","Indian Institute of Technology Delhi","AUTONOMOUS","Delhi","New Delhi","110016","webmaster@admin.iitd.ac.in","Government","NIRF","Not Available","Active"
"16666            		  View Course","Guru Gobind Singh Indraprastha University","GURU GOBIND SINGH INDRAPRASTHA UNIVERSITY","Delhi","New Delhi","110078","coe@ipu.ac.in","Government","NIRF","Not Available","Active"
"16667            		  View Course","Indira Gandhi Delhi Technical University for Women","INDIRA GANDHI DELHI TECHNICAL UNIVERSITY FOR WOMEN","Delhi","CENTRAL DELHI","110006","somya.gupta1@gmail.com","Government","NIRF","Not Available","Active"
"16668            		  View Course","National Institute of Technology Goa","Autonomous","Goa","South Goa","403401","vasanthmh@nitgoa.ac.in","Government","NIRF","Not Available","Active"
"16669            		  View Course","Indian Institute of Technology Gandhinagar","AUTONOMOUS","Gujarat","Gandhinagar","382355","genadmin@iitgn.ac.in","Government","NIRF","Not Available","Active"
"16670            		  View Course","Sardar Vallabhbhai National Institute of Technology","Autonomous","Gujarat","Surat","395007","dean_acad@svnit.ac.in","Government","NIRF","Not Available","Active"
"16674            		  View Course","National Institute of Technology Kurukshetra","Autonomous","Haryana","Kurukshetra","136119","registrar@nitkkr.ac.in","Government","NIRF","Not Available","Active"
"16675            		  View Course","National Institute of Food Technology, Enterprenurship & Management","Deemed to be University","Haryana","Sonipat","131028","dsw@niftem.ac.in","Government","Not Available","Not Available","Active"
"16678            		  View Course","Manav Rachna International Institute of Research & Studies","Deemed to be University","Haryana","Faridabad","121004","info@mrei.ac.in","Private","NIRF","Not Available","Active"
"16679            		  View Course","Indian Institute of Technology Mandi","AUTONOMOUS","Himachal Pradesh","Mandi","175075","registrar@iitmandi.ac.in","Government","NIRF","Not Available","Active"
"16680            		  View Course","National Institute of Technology Hamirpur","Ministry of Human Resource Development","Himachal Pradesh","Hamirpur","177005","registrar@nith.ac.in","Government","NIRF","Not Available","Active"
"16682            		  View Course","Shri Mata Vaishno Devi University","Shri Mata Vaishno Devi University","Jammu and Kashmir","Reasi","182320","info@smvdu.ac.in","Government","NIRF","Not Available","Active"
"16683            		  View Course","Indian Institute of Technology","AUTONOMOUS","Jharkhand","Dhanbad","826004","director@iitism.ac.in","Government","NIRF","Not Available","Active"
